epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,27.2922,0.23574,0.88596,1,0.35166,0.000544553,0.000544553,0.000544553
2,53.6419,0.24709,0.86842,1,0.34573,0.00105665,0.00105665,0.00105665
3,80.3982,0.31042,0.88596,1,0.33687,0.00152474,0.00152474,0.00152474
4,107.284,0.29033,0.87719,1,0.4638,0.00146896,0.00146896,0.00146896
5,134.255,0.28923,0.89474,1,0.32601,0.00140295,0.00140295,0.00140295
6,161.107,0.27552,0.86842,1,0.52904,0.00133693,0.00133693,0.00133693
7,189.04,0.24025,0.82456,1,0.40147,0.00127092,0.00127092,0.00127092
8,217.127,0.23756,0.89474,1,0.41396,0.00120491,0.00120491,0.00120491
9,244.608,0.18913,0.87719,1,0.37484,0.00113889,0.00113889,0.00113889
10,272.86,0.18107,0.83333,1,0.40789,0.00107288,0.00107288,0.00107288
11,300.399,0.17008,0.86842,1,0.48448,0.00100687,0.00100687,0.00100687
12,328.43,0.16691,0.86842,1,0.48124,0.000940855,0.000940855,0.000940855
13,355.981,0.18484,0.88596,1,0.37871,0.000874842,0.000874842,0.000874842
14,383.358,0.15309,0.84211,1,0.49323,0.000808828,0.000808828,0.000808828
15,411.802,0.13822,0.88596,1,0.41068,0.000742815,0.000742815,0.000742815
16,440.261,0.12073,0.86842,1,0.40246,0.000676802,0.000676802,0.000676802
17,468.049,0.12357,0.87719,1,0.36428,0.000610789,0.000610789,0.000610789
18,496.615,0.09486,0.90351,1,0.40833,0.000544776,0.000544776,0.000544776
19,525.921,0.09776,0.89474,1,0.37001,0.000478762,0.000478762,0.000478762
20,554.371,0.12442,0.88596,1,0.3733,0.000412749,0.000412749,0.000412749
21,583.055,0.09389,0.87719,1,0.36322,0.000346736,0.000346736,0.000346736
22,609.261,0.10523,0.86842,1,0.39083,0.000280723,0.000280723,0.000280723
23,636.855,0.09998,0.88596,1,0.38435,0.00021471,0.00021471,0.00021471
24,665.601,0.07735,0.89474,1,0.3856,0.000148696,0.000148696,0.000148696
25,695.431,0.07352,0.89474,1,0.43626,8.26832e-05,8.26832e-05,8.26832e-05
