epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1136.9,0.73008,1.79463,1.48266,0.82757,0.7783,0.87772,0.6185,0.99075,1.83382,1.63366,0.000662835,0.000662835,0.000662835
2,2364.15,0.77517,1.03671,1.53246,0.81382,0.79743,0.8731,0.48219,1.32615,1.42104,1.95583,0.00119788,0.00119788,0.00119788
3,3404.85,0.76544,0.75911,1.52092,0.86542,0.86486,0.94828,0.655,1.05835,1.05713,1.73838,0.00160093,0.00160093,0.00160093
4,4564.92,0.72795,0.66703,1.48794,0.89945,0.84615,0.91305,0.69767,0.8855,0.83039,1.41141,0.001406,0.001406,0.001406
5,5658.41,0.62541,0.56632,1.36864,0.94151,0.85811,0.94212,0.73327,0.86322,0.70122,1.45376,0.001208,0.001208,0.001208
6,6914.51,0.57663,0.50005,1.31665,0.967,0.86486,0.97344,0.8064,0.66466,0.54411,1.18841,0.00101,0.00101,0.00101
7,7971.45,0.50625,0.44885,1.24921,0.96513,0.93513,0.98332,0.83775,0.59632,0.50382,1.12135,0.000812,0.000812,0.000812
8,9253.22,0.46204,0.41548,1.20579,0.95826,0.97297,0.99009,0.87576,0.55021,0.42151,1.05523,0.000614,0.000614,0.000614
9,11741.4,0.43036,0.36674,1.16791,0.98656,0.99212,0.99446,0.89381,0.48709,0.34738,0.98855,0.000416,0.000416,0.000416
10,32194.7,0.38456,0.3249,1.12802,0.97967,0.9767,0.9924,0.8999,0.45748,0.34208,0.97607,0.000218,0.000218,0.000218
