epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.41025,0.1152,0.88333,1,0.40814,0.00021671,0.00021671,0.00021671
2,6.89016,0.10071,0.86667,1,0.35784,0.000445634,0.000445634,0.000445634
3,10.2002,0.08478,0.83333,1,0.32857,0.000669937,0.000669937,0.000669937
4,13.028,0.07442,0.81667,1,0.51249,0.00088962,0.00088962,0.00088962
5,16.0373,0.07565,0.83333,1,0.62635,0.00110468,0.00110468,0.00110468
6,19.0369,0.06803,0.85,1,0.61279,0.00131512,0.00131512,0.00131512
7,22.1499,0.13089,0.83333,1,0.80485,0.00152094,0.00152094,0.00152094
8,25.0814,0.28623,0.86667,1,1.14631,0.00155148,0.00155148,0.00155148
9,28.203,0.20402,0.9,1,0.8614,0.00153497,0.00153497,0.00153497
10,31.2363,0.23967,0.85,1,0.48238,0.00151847,0.00151847,0.00151847
11,34.4632,0.14412,0.83333,1,0.47937,0.00150197,0.00150197,0.00150197
12,37.594,0.11146,0.86667,1,0.54195,0.00148546,0.00148546,0.00148546
13,40.5799,0.19353,0.85,1,0.43252,0.00146896,0.00146896,0.00146896
14,43.7056,0.20579,0.9,1,0.28758,0.00145246,0.00145246,0.00145246
15,46.5738,0.18972,0.93333,1,0.26001,0.00143595,0.00143595,0.00143595
16,49.7699,0.21806,0.88333,1,0.23803,0.00141945,0.00141945,0.00141945
17,52.7144,0.13528,0.88333,1,0.28464,0.00140295,0.00140295,0.00140295
18,55.8147,0.10691,0.9,1,0.36346,0.00138644,0.00138644,0.00138644
19,58.7274,0.20901,0.9,1,0.35149,0.00136994,0.00136994,0.00136994
20,61.6651,0.08822,0.9,1,0.24734,0.00135344,0.00135344,0.00135344
21,64.8096,0.11717,0.93333,1,0.20497,0.00133693,0.00133693,0.00133693
22,67.8248,0.20102,0.88333,1,0.29013,0.00132043,0.00132043,0.00132043
23,70.9018,0.11653,0.88333,1,0.40307,0.00130393,0.00130393,0.00130393
24,73.6714,0.10233,0.88333,1,0.34166,0.00128742,0.00128742,0.00128742
25,76.6087,0.119,0.88333,1,0.35603,0.00127092,0.00127092,0.00127092
26,79.8354,0.06629,0.83333,1,0.41294,0.00125442,0.00125442,0.00125442
27,82.8095,0.1079,0.83333,1,0.47001,0.00123791,0.00123791,0.00123791
28,85.7987,0.09467,0.9,1,0.28728,0.00122141,0.00122141,0.00122141
29,88.6613,0.08153,0.95,1,0.25768,0.00120491,0.00120491,0.00120491
30,91.7041,0.08031,0.91667,1,0.21213,0.0011884,0.0011884,0.0011884
31,94.8322,0.17478,0.91667,1,0.2621,0.0011719,0.0011719,0.0011719
32,97.7443,0.25232,0.78333,1,0.37139,0.0011554,0.0011554,0.0011554
33,100.685,0.09798,0.8,1,0.48882,0.00113889,0.00113889,0.00113889
34,103.71,0.10756,0.8,1,0.52483,0.00112239,0.00112239,0.00112239
35,106.631,0.12812,0.81667,1,0.70502,0.00110589,0.00110589,0.00110589
36,109.535,0.17177,0.86667,1,0.79448,0.00108938,0.00108938,0.00108938
